#           k/h    P           
   0.100000E-03   0.609417E+02
   0.102020E-03   0.621287E+02
   0.104081E-03   0.633388E+02
   0.106184E-03   0.645725E+02
   0.108329E-03   0.658301E+02
   0.110517E-03   0.671122E+02
   0.112750E-03   0.684193E+02
   0.115027E-03   0.697518E+02
   0.117351E-03   0.711102E+02
   0.119722E-03   0.724950E+02
   0.122140E-03   0.739068E+02
   0.124608E-03   0.753460E+02
   0.127125E-03   0.768132E+02
   0.129693E-03   0.783090E+02
   0.132313E-03   0.798338E+02
   0.134986E-03   0.813883E+02
   0.137713E-03   0.829730E+02
   0.140495E-03   0.845885E+02
   0.143333E-03   0.862354E+02
   0.146228E-03   0.879143E+02
   0.149182E-03   0.896259E+02
   0.152196E-03   0.913707E+02
   0.155271E-03   0.931494E+02
   0.158407E-03   0.949627E+02
   0.161607E-03   0.968112E+02
   0.164872E-03   0.986956E+02
   0.168203E-03   0.100617E+03
   0.171601E-03   0.102575E+03
   0.175067E-03   0.104571E+03
   0.178604E-03   0.106606E+03
   0.182212E-03   0.108681E+03
   0.185893E-03   0.110796E+03
   0.189648E-03   0.112952E+03
   0.193479E-03   0.115149E+03
   0.197388E-03   0.117390E+03
   0.201375E-03   0.119673E+03
   0.205443E-03   0.122001E+03
   0.209594E-03   0.124375E+03
   0.213828E-03   0.126794E+03
   0.218147E-03   0.129260E+03
   0.222554E-03   0.131774E+03
   0.227050E-03   0.134336E+03
   0.231637E-03   0.136948E+03
   0.236316E-03   0.139611E+03
   0.241090E-03   0.142325E+03
   0.245960E-03   0.145092E+03
   0.250929E-03   0.147912E+03
   0.255998E-03   0.150787E+03
   0.261170E-03   0.153717E+03
   0.266446E-03   0.156704E+03
   0.271828E-03   0.159749E+03
   0.277319E-03   0.162853E+03
   0.282922E-03   0.166016E+03
   0.288637E-03   0.169241E+03
   0.294468E-03   0.172527E+03
   0.300417E-03   0.175877E+03
   0.306485E-03   0.179292E+03
   0.312677E-03   0.182773E+03
   0.318993E-03   0.186320E+03
   0.325437E-03   0.189936E+03
   0.332012E-03   0.193621E+03
   0.338719E-03   0.197377E+03
   0.345561E-03   0.201206E+03
   0.352542E-03   0.205108E+03
