#           k/h    P           
   0.100000E-03   0.421835E+03
   0.102020E-03   0.430051E+03
   0.104081E-03   0.438426E+03
   0.106184E-03   0.446965E+03
   0.108329E-03   0.455669E+03
   0.110517E-03   0.464543E+03
   0.112750E-03   0.473589E+03
   0.115027E-03   0.482812E+03
   0.117351E-03   0.492213E+03
   0.119722E-03   0.501798E+03
   0.122140E-03   0.511568E+03
   0.124608E-03   0.521529E+03
   0.127125E-03   0.531683E+03
   0.129693E-03   0.542035E+03
   0.132313E-03   0.552588E+03
   0.134986E-03   0.563346E+03
   0.137713E-03   0.574313E+03
   0.140495E-03   0.585493E+03
   0.143333E-03   0.596890E+03
   0.146228E-03   0.608509E+03
   0.149182E-03   0.620354E+03
   0.152196E-03   0.632428E+03
   0.155271E-03   0.644737E+03
   0.158407E-03   0.657285E+03
   0.161607E-03   0.670077E+03
   0.164872E-03   0.683117E+03
   0.168203E-03   0.696410E+03
   0.171601E-03   0.709960E+03
   0.175067E-03   0.723774E+03
   0.178604E-03   0.737856E+03
   0.182212E-03   0.752211E+03
   0.185893E-03   0.766844E+03
   0.189648E-03   0.781761E+03
   0.193479E-03   0.796967E+03
   0.197388E-03   0.812467E+03
   0.201375E-03   0.828268E+03
   0.205443E-03   0.844375E+03
   0.209594E-03   0.860794E+03
   0.213828E-03   0.877531E+03
   0.218147E-03   0.894592E+03
   0.222554E-03   0.911983E+03
   0.227050E-03   0.929711E+03
   0.231637E-03   0.947781E+03
   0.236316E-03   0.966201E+03
   0.241090E-03   0.984976E+03
   0.245960E-03   0.100411E+04
   0.250929E-03   0.102362E+04
   0.255998E-03   0.104351E+04
   0.261170E-03   0.106378E+04
   0.266446E-03   0.108444E+04
   0.271828E-03   0.110549E+04
   0.277319E-03   0.112696E+04
   0.282922E-03   0.114884E+04
   0.288637E-03   0.117114E+04
   0.294468E-03   0.119386E+04
   0.300417E-03   0.121703E+04
   0.306485E-03   0.124064E+04
   0.312677E-03   0.126471E+04
   0.318993E-03   0.128924E+04
   0.325437E-03   0.131424E+04
   0.332012E-03   0.133972E+04
   0.338719E-03   0.136569E+04
   0.345561E-03   0.139215E+04
   0.352542E-03   0.141913E+04
   0.359664E-03   0.144662E+04
   0.366930E-03   0.147463E+04
   0.374342E-03   0.150319E+04
   0.381904E-03   0.153229E+04
   0.389619E-03   0.156194E+04
   0.397490E-03   0.159216E+04
   0.405520E-03   0.162296E+04
   0.413712E-03   0.165434E+04
   0.422070E-03   0.168632E+04
   0.430596E-03   0.171892E+04
   0.439295E-03   0.175213E+04
   0.448169E-03   0.178597E+04
   0.457222E-03   0.182045E+04
   0.466459E-03   0.185559E+04
   0.475882E-03   0.189139E+04
   0.485496E-03   0.192787E+04
   0.495303E-03   0.196504E+04
   0.505309E-03   0.200291E+04
   0.515517E-03   0.204150E+04
   0.525931E-03   0.208081E+04
   0.536556E-03   0.212086E+04
   0.547395E-03   0.216167E+04
   0.558453E-03   0.220324E+04
   0.569734E-03   0.224559E+04
   0.581244E-03   0.228874E+04
   0.592986E-03   0.233269E+04
   0.604965E-03   0.237747E+04
   0.617186E-03   0.242308E+04
   0.629654E-03   0.246953E+04
   0.642374E-03   0.251686E+04
   0.655350E-03   0.256506E+04
   0.668589E-03   0.261415E+04
   0.682096E-03   0.266415E+04
   0.695875E-03   0.271508E+04
   0.709933E-03   0.276695E+04
   0.724274E-03   0.281977E+04
   0.738906E-03   0.287356E+04
   0.753832E-03   0.292834E+04
   0.769061E-03   0.298412E+04
   0.784597E-03   0.304092E+04
   0.800447E-03   0.309876E+04
   0.816617E-03   0.315766E+04
   0.833114E-03   0.321762E+04
   0.849944E-03   0.327867E+04
   0.867114E-03   0.334082E+04
   0.884631E-03   0.340409E+04
   0.902501E-03   0.346850E+04
   0.920733E-03   0.353407E+04
   0.939333E-03   0.360081E+04
   0.958309E-03   0.366875E+04
   0.977668E-03   0.373789E+04
   0.997418E-03   0.380826E+04
   0.101757E-02   0.387987E+04
   0.103812E-02   0.395276E+04
   0.105910E-02   0.402692E+04
   0.108049E-02   0.410239E+04
   0.110232E-02   0.417918E+04
   0.112459E-02   0.425730E+04
   0.114730E-02   0.433679E+04
   0.117048E-02   0.441765E+04
   0.119413E-02   0.449991E+04
   0.121825E-02   0.458358E+04
   0.124286E-02   0.466868E+04
   0.126797E-02   0.475523E+04
   0.129358E-02   0.484324E+04
   0.131971E-02   0.493275E+04
   0.134637E-02   0.502376E+04
   0.137357E-02   0.511630E+04
   0.140132E-02   0.521038E+04
   0.142963E-02   0.530602E+04
   0.145851E-02   0.540324E+04
   0.148797E-02   0.550206E+04
   0.151803E-02   0.560250E+04
   0.154870E-02   0.570457E+04
   0.157998E-02   0.580830E+04
   0.161190E-02   0.591369E+04
   0.164446E-02   0.602077E+04
   0.167768E-02   0.612955E+04
   0.171158E-02   0.624004E+04
   0.174615E-02   0.635227E+04
   0.178143E-02   0.646624E+04
   0.181741E-02   0.658198E+04
   0.185413E-02   0.669950E+04
