#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742280E-04   0.752520E+07   0.752520E+07   0.994166E+07   0.994129E+07   0.752849E+07   0.752521E+07   0.752520E+07   0.753351E+07  -0.593759E+00   0.728579E+07   0.728579E+07   0.127363E+00
   0.103594E-03   0.752483E+07   0.752483E+07   0.985476E+07   0.985405E+07   0.752673E+07   0.752484E+07   0.752483E+07   0.753306E+07  -0.593722E+00   0.728543E+07   0.728543E+07   0.177658E+00
   0.144576E-03   0.752411E+07   0.752411E+07   0.968756E+07   0.968620E+07   0.752331E+07   0.752411E+07   0.752411E+07   0.753219E+07  -0.593650E+00   0.728474E+07   0.728474E+07   0.247694E+00
   0.201773E-03   0.752272E+07   0.752271E+07   0.936952E+07   0.936700E+07   0.751667E+07   0.752269E+07   0.752271E+07   0.753050E+07  -0.593511E+00   0.728339E+07   0.728339E+07   0.345017E+00
   0.281596E-03   0.752002E+07   0.752001E+07   0.877815E+07   0.877366E+07   0.750380E+07   0.751995E+07   0.752001E+07   0.752727E+07  -0.593244E+00   0.728077E+07   0.728077E+07   0.479728E+00
   0.393000E-03   0.751483E+07   0.751481E+07   0.772647E+07   0.771913E+07   0.747898E+07   0.751467E+07   0.751482E+07   0.752111E+07  -0.592735E+00   0.727574E+07   0.727574E+07   0.664832E+00
   0.548475E-03   0.750497E+07   0.750494E+07   0.601495E+07   0.600505E+07   0.743153E+07   0.750466E+07   0.750496E+07   0.750967E+07  -0.591787E+00   0.726615E+07   0.726614E+07   0.915924E+00
   0.765459E-03   0.748664E+07   0.748658E+07   0.368899E+07   0.368076E+07   0.734237E+07   0.748603E+07   0.748663E+07   0.748910E+07  -0.590084E+00   0.724821E+07   0.724821E+07   0.124962E+01
   0.106828E-02   0.745375E+07   0.745363E+07   0.153286E+07   0.153370E+07   0.718003E+07   0.745258E+07   0.745373E+07   0.745386E+07  -0.587181E+00   0.721580E+07   0.721579E+07   0.168185E+01
   0.149091E-02   0.739758E+07   0.739733E+07   0.690625E+06   0.693429E+06   0.690118E+07   0.739545E+07   0.739754E+07   0.739603E+07  -0.582497E+00   0.716021E+07   0.716020E+07   0.223207E+01
   0.208073E-02   0.730658E+07   0.730610E+07   0.407458E+06   0.404009E+06   0.647043E+07   0.730299E+07   0.730650E+07   0.730333E+07  -0.575146E+00   0.707051E+07   0.707049E+07   0.293424E+01
   0.290390E-02   0.716568E+07   0.716476E+07   0.185599E+06   0.185598E+06   0.589156E+07   0.716019E+07   0.716554E+07   0.716034E+07  -0.563858E+00   0.693244E+07   0.693240E+07   0.383112E+01
   0.405271E-02   0.695701E+07   0.695526E+07   0.924826E+05   0.924819E+05   0.521032E+07   0.694940E+07   0.695673E+07   0.694948E+07  -0.547239E+00   0.672878E+07   0.672872E+07   0.497104E+01
   0.419008E-02   0.693169E+07   0.692982E+07   0.861993E+05   0.861986E+05   0.513748E+07   0.692386E+07   0.693140E+07   0.692393E+07  -0.545226E+00   0.670411E+07   0.670405E+07   0.510041E+01
   0.433210E-02   0.690548E+07   0.690349E+07   0.803313E+05   0.803307E+05   0.506380E+07   0.689744E+07   0.690517E+07   0.689750E+07  -0.543144E+00   0.667859E+07   0.667852E+07   0.523280E+01
   0.447894E-02   0.687837E+07   0.687625E+07   0.748517E+05   0.748512E+05   0.498925E+07   0.687011E+07   0.687804E+07   0.687017E+07  -0.540991E+00   0.665219E+07   0.665212E+07   0.536823E+01
   0.463075E-02   0.685034E+07   0.684808E+07   0.697353E+05   0.697348E+05   0.491381E+07   0.684185E+07   0.684998E+07   0.684191E+07  -0.538765E+00   0.662489E+07   0.662482E+07   0.550676E+01
   0.478771E-02   0.682136E+07   0.681895E+07   0.649583E+05   0.649579E+05   0.483749E+07   0.681265E+07   0.682098E+07   0.681271E+07  -0.536464E+00   0.659669E+07   0.659661E+07   0.564843E+01
   0.494999E-02   0.679142E+07   0.678885E+07   0.604989E+05   0.604984E+05   0.476033E+07   0.678249E+07   0.679101E+07   0.678254E+07  -0.534088E+00   0.656755E+07   0.656747E+07   0.579329E+01
   0.511778E-02   0.676049E+07   0.675776E+07   0.563361E+05   0.563357E+05   0.468233E+07   0.675134E+07   0.676006E+07   0.675139E+07  -0.531634E+00   0.653747E+07   0.653738E+07   0.594136E+01
   0.529124E-02   0.672857E+07   0.672566E+07   0.524508E+05   0.524505E+05   0.460350E+07   0.671919E+07   0.672811E+07   0.671923E+07  -0.529102E+00   0.650641E+07   0.650632E+07   0.609269E+01
   0.547059E-02   0.669562E+07   0.669252E+07   0.488249E+05   0.488245E+05   0.452382E+07   0.668602E+07   0.669514E+07   0.668606E+07  -0.526489E+00   0.647437E+07   0.647427E+07   0.624731E+01
   0.565602E-02   0.666164E+07   0.665833E+07   0.454412E+05   0.454409E+05   0.444327E+07   0.665180E+07   0.666112E+07   0.665184E+07  -0.523794E+00   0.644132E+07   0.644121E+07   0.640524E+01
   0.584773E-02   0.662678E+07   0.662326E+07   0.422846E+05   0.422843E+05   0.434644E+07   0.661665E+07   0.662623E+07   0.661669E+07  -0.521025E+00   0.640738E+07   0.640728E+07   0.656651E+01
   0.604594E-02   0.659065E+07   0.658691E+07   0.393391E+05   0.393388E+05   0.426162E+07   0.658029E+07   0.659006E+07   0.658032E+07  -0.518161E+00   0.637226E+07   0.637214E+07   0.673111E+01
   0.625087E-02   0.655342E+07   0.654944E+07   0.365914E+05   0.365912E+05   0.417568E+07   0.654282E+07   0.655280E+07   0.654285E+07  -0.515209E+00   0.633606E+07   0.633594E+07   0.689907E+01
   0.646274E-02   0.651507E+07   0.651083E+07   0.340287E+05   0.340284E+05   0.408858E+07   0.650422E+07   0.651441E+07   0.650425E+07  -0.512170E+00   0.629878E+07   0.629865E+07   0.707037E+01
   0.668179E-02   0.647558E+07   0.647107E+07   0.316386E+05   0.316384E+05   0.400031E+07   0.646448E+07   0.647487E+07   0.646451E+07  -0.509040E+00   0.626039E+07   0.626025E+07   0.724500E+01
   0.690827E-02   0.643493E+07   0.643012E+07   0.294100E+05   0.294098E+05   0.391095E+07   0.642358E+07   0.643417E+07   0.642360E+07  -0.505819E+00   0.622087E+07   0.622073E+07   0.742295E+01
   0.714243E-02   0.639309E+07   0.638798E+07   0.273321E+05   0.273319E+05   0.382063E+07   0.638149E+07   0.639229E+07   0.638151E+07  -0.502504E+00   0.618021E+07   0.618006E+07   0.760417E+01
