#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742280E-04   0.197987E+08   0.197987E+08   0.256999E+08   0.256989E+08   0.197990E+08   0.197987E+08   0.197987E+08   0.198052E+08  -0.472832E+00   0.104394E+08   0.104394E+08   0.414436E-01
   0.103594E-03   0.197975E+08   0.197975E+08   0.250522E+08   0.250502E+08   0.197957E+08   0.197975E+08   0.197975E+08   0.198038E+08  -0.472796E+00   0.104387E+08   0.104387E+08   0.577696E-01
   0.144576E-03   0.197952E+08   0.197952E+08   0.238332E+08   0.238296E+08   0.197894E+08   0.197952E+08   0.197952E+08   0.198012E+08  -0.472727E+00   0.104375E+08   0.104375E+08   0.804372E-01
   0.201773E-03   0.197907E+08   0.197907E+08   0.216135E+08   0.216074E+08   0.197771E+08   0.197906E+08   0.197907E+08   0.197961E+08  -0.472593E+00   0.104351E+08   0.104351E+08   0.111763E+00
   0.281596E-03   0.197821E+08   0.197821E+08   0.178268E+08   0.178178E+08   0.197534E+08   0.197820E+08   0.197821E+08   0.197865E+08  -0.472342E+00   0.104304E+08   0.104304E+08   0.154691E+00
   0.393000E-03   0.197658E+08   0.197657E+08   0.121601E+08   0.121503E+08   0.197080E+08   0.197655E+08   0.197658E+08   0.197686E+08  -0.471879E+00   0.104216E+08   0.104216E+08   0.212682E+00
   0.548475E-03   0.197356E+08   0.197355E+08   0.569895E+07   0.569544E+07   0.196219E+08   0.197351E+08   0.197356E+08   0.197365E+08  -0.471061E+00   0.104054E+08   0.104054E+08   0.289416E+00
   0.765459E-03   0.196817E+08   0.196816E+08   0.167224E+07   0.167669E+07   0.194627E+08   0.196807E+08   0.196817E+08   0.196812E+08  -0.469681E+00   0.103764E+08   0.103764E+08   0.388818E+00
   0.106828E-02   0.195894E+08   0.195892E+08   0.936894E+06   0.932964E+06   0.191771E+08   0.195876E+08   0.195893E+08   0.195878E+08  -0.467421E+00   0.103269E+08   0.103269E+08   0.516548E+00
   0.149091E-02   0.194371E+08   0.194369E+08   0.230541E+06   0.222319E+06   0.186907E+08   0.194340E+08   0.194371E+08   0.194340E+08  -0.463738E+00   0.102458E+08   0.102458E+08   0.681089E+00
   0.208073E-02   0.191942E+08   0.191937E+08  -0.107671E+06  -0.107672E+06   0.179314E+08   0.191888E+08   0.191941E+08   0.191888E+08  -0.457878E+00   0.101167E+08   0.101167E+08   0.892511E+00
   0.290390E-02   0.188201E+08   0.188192E+08  -0.542051E+05  -0.542053E+05   0.168622E+08   0.188118E+08   0.188200E+08   0.188118E+08  -0.448878E+00   0.991817E+07   0.991816E+07   0.116327E+01
   0.405271E-02   0.182681E+08   0.182663E+08  -0.270199E+05  -0.270199E+05   0.154729E+08   0.182561E+08   0.182678E+08   0.182561E+08  -0.435618E+00   0.962569E+07   0.962567E+07   0.150799E+01
   0.419008E-02   0.182012E+08   0.181993E+08  -0.251856E+05  -0.251857E+05   0.153147E+08   0.181888E+08   0.182009E+08   0.181888E+08  -0.434012E+00   0.959027E+07   0.959025E+07   0.154714E+01
   0.433210E-02   0.181320E+08   0.181300E+08  -0.234726E+05  -0.234726E+05   0.151535E+08   0.181192E+08   0.181317E+08   0.181192E+08  -0.432350E+00   0.955362E+07   0.955360E+07   0.158720E+01
   0.447894E-02   0.180604E+08   0.180582E+08  -0.218729E+05  -0.218730E+05   0.149888E+08   0.180472E+08   0.180601E+08   0.180472E+08  -0.430632E+00   0.951572E+07   0.951570E+07   0.162818E+01
   0.463075E-02   0.179864E+08   0.179841E+08  -0.203792E+05  -0.203793E+05   0.148206E+08   0.179727E+08   0.179860E+08   0.179727E+08  -0.428856E+00   0.947654E+07   0.947652E+07   0.167011E+01
   0.478771E-02   0.179099E+08   0.179074E+08  -0.189846E+05  -0.189847E+05   0.146489E+08   0.178958E+08   0.179095E+08   0.178958E+08  -0.427020E+00   0.943605E+07   0.943602E+07   0.171299E+01
   0.494999E-02   0.178309E+08   0.178282E+08  -0.176827E+05  -0.176827E+05   0.144739E+08   0.178164E+08   0.178304E+08   0.178164E+08  -0.425124E+00   0.939422E+07   0.939420E+07   0.175684E+01
   0.511778E-02   0.177492E+08   0.177464E+08  -0.164673E+05  -0.164674E+05   0.142953E+08   0.177343E+08   0.177488E+08   0.177343E+08  -0.423166E+00   0.935104E+07   0.935101E+07   0.180166E+01
   0.529124E-02   0.176650E+08   0.176620E+08  -0.153330E+05  -0.153330E+05   0.141133E+08   0.176496E+08   0.176645E+08   0.176496E+08  -0.421146E+00   0.930646E+07   0.930644E+07   0.184747E+01
   0.547059E-02   0.175781E+08   0.175749E+08  -0.142742E+05  -0.142743E+05   0.139278E+08   0.175623E+08   0.175776E+08   0.175623E+08  -0.419061E+00   0.926048E+07   0.926044E+07   0.189428E+01
   0.565602E-02   0.174884E+08   0.174850E+08  -0.132862E+05  -0.132863E+05   0.137386E+08   0.174722E+08   0.174879E+08   0.174722E+08  -0.416911E+00   0.921304E+07   0.921301E+07   0.194209E+01
   0.584773E-02   0.173964E+08   0.173928E+08  -0.123647E+05  -0.123648E+05   0.135223E+08   0.173796E+08   0.173958E+08   0.173796E+08  -0.414701E+00   0.916431E+07   0.916428E+07   0.199092E+01
   0.604594E-02   0.173011E+08   0.172972E+08  -0.115046E+05  -0.115046E+05   0.133224E+08   0.172838E+08   0.173005E+08   0.172838E+08  -0.412416E+00   0.911390E+07   0.911386E+07   0.204076E+01
   0.625087E-02   0.172029E+08   0.171988E+08  -0.107022E+05  -0.107022E+05   0.131184E+08   0.171851E+08   0.172022E+08   0.171851E+08  -0.410061E+00   0.906195E+07   0.906192E+07   0.209162E+01
   0.646274E-02   0.171017E+08   0.170974E+08  -0.995375E+04  -0.995378E+04   0.129105E+08   0.170835E+08   0.171011E+08   0.170835E+08  -0.407636E+00   0.900845E+07   0.900841E+07   0.214349E+01
   0.668179E-02   0.169976E+08   0.169930E+08  -0.925570E+04  -0.925572E+04   0.126988E+08   0.169788E+08   0.169969E+08   0.169788E+08  -0.405139E+00   0.895337E+07   0.895332E+07   0.219637E+01
   0.690827E-02   0.168904E+08   0.168855E+08  -0.860473E+04  -0.860476E+04   0.124836E+08   0.168711E+08   0.168896E+08   0.168711E+08  -0.402569E+00   0.889667E+07   0.889662E+07   0.225026E+01
   0.714243E-02   0.167801E+08   0.167748E+08  -0.799776E+04  -0.799779E+04   0.122652E+08   0.167603E+08   0.167793E+08   0.167603E+08  -0.399925E+00   0.883833E+07   0.883828E+07   0.230514E+01
   0.738452E-02   0.166664E+08   0.166608E+08  -0.743179E+04  -0.743181E+04   0.120438E+08   0.166461E+08   0.166655E+08   0.166461E+08  -0.397200E+00   0.877821E+07   0.877816E+07   0.236100E+01
   0.763482E-02   0.165497E+08   0.165438E+08  -0.690430E+04  -0.690432E+04   0.118205E+08   0.165289E+08   0.165488E+08   0.165289E+08  -0.394403E+00   0.871650E+07   0.871645E+07   0.241782E+01
   0.789361E-02   0.164297E+08   0.164234E+08  -0.641266E+04  -0.641268E+04   0.115953E+08   0.164084E+08   0.164287E+08   0.164084E+08  -0.391529E+00   0.865308E+07   0.865302E+07   0.247558E+01
   0.816116E-02   0.163064E+08   0.162998E+08  -0.595452E+04  -0.595454E+04   0.113683E+08   0.162847E+08   0.163054E+08   0.162847E+08  -0.388575E+00   0.858791E+07   0.858785E+07   0.253425E+01
   0.843779E-02   0.161798E+08   0.161727E+08  -0.552766E+04  -0.552767E+04   0.111397E+08   0.161576E+08   0.161787E+08   0.161575E+08  -0.385542E+00   0.852097E+07   0.852091E+07   0.259379E+01
   0.872379E-02   0.160498E+08   0.160422E+08  -0.513000E+04  -0.513002E+04   0.109094E+08   0.160270E+08   0.160486E+08   0.160270E+08  -0.382427E+00   0.845224E+07   0.845218E+07   0.265416E+01
   0.901948E-02   0.159164E+08   0.159083E+08  -0.475964E+04  -0.475966E+04   0.106771E+08   0.158931E+08   0.159151E+08   0.158931E+08  -0.379232E+00   0.838173E+07   0.838166E+07   0.271531E+01
   0.932520E-02   0.157794E+08   0.157709E+08  -0.441473E+04  -0.441474E+04   0.104429E+08   0.157557E+08   0.157780E+08   0.157557E+08  -0.375952E+00   0.830935E+07   0.830927E+07   0.277718E+01
   0.964127E-02   0.156388E+08   0.156298E+08  -0.409357E+04  -0.409358E+04   0.102067E+08   0.156146E+08   0.156374E+08   0.156146E+08  -0.372587E+00   0.823509E+07   0.823501E+07   0.283972E+01
   0.996807E-02   0.154947E+08   0.154851E+08  -0.379460E+04  -0.379461E+04   0.996866E+07   0.154700E+08   0.154932E+08   0.154700E+08  -0.369136E+00   0.815893E+07   0.815885E+07   0.290283E+01
