RT,XI
0.0,1.0
2.0,0.9564004264938686
6.0,0.8692012794816059
10.0,0.7822879441649168
14.0,0.6965124602411111
18.0,0.615173771640474
22.0,0.5387736188944443
26.0,0.4659494357876331
30.0,0.39745810812473714
34.0,0.33438465153465874
38.0,0.277289242641935
42.0,0.22552787302469712
46.0,0.17985284583066177
50.0,0.13943021635226135
54.0,0.10581758451560558
58.0,0.08066596423025667
62.0,0.06181944705284289
66.0,0.04749579754294205
70.0,0.036287587409062155
74.0,0.02718383225059678
78.0,0.01986143348065958
82.0,0.014079233984724628
86.0,0.00962195054636636
90.0,0.005982723572086415
94.0,0.0032647581695952124
98.0,0.0015938592966432022
102.0,0.00039596602985959525
106.0,5.821412678379611e-06
110.0,0.0
1000.0,0.0
