# List of latex notations for Vega parameters. Primarily used by the sampler
# Full parameters names
# vega_name latex_name
ap \alpha_{||}
at \alpha_\bot
aiso \alpha_{iso}
epsilon \epsilon
phi \phi_p
alpha \alpha_p
phi_smooth \phi_s
alpha_smooth \alpha_s
phi_full \phi_f
alpha_full \alpha_f
growth_rate f
bias_gamma b_\gamma
bias_prim b'
lambda_uv \lambda_{UV}
bias_hcd b_{HCD}
beta_hcd \beta_{HCD}
L0_hcd L_0
sigmaNL_par \Sigma_{||}
sigmaNL_per \Sigma_\bot
dnl_arinyo_q1 q_1
dnl_arinyo_kv k_v
dnl_arinyo_av a_v
dnl_arinyo_bv b_v
dnl_arinyo_kp k_p
par_sigma_smooth \sigma_{||,sm}^{full}
per_sigma_smooth \sigma_{\bot,sm}^{full}
par_exp_smooth e_{||,sm}^{full}
per_exp_smooth e_{\bot,sm}^{full}
sigma_velo_disp_gauss_QSO \sigma_v
sigma_velo_disp_lorentz_QSO \sigma_v
Arel1 A_{rel,1}
Arel3 A_{rel,3}
Aasy0 A_{asy,0}
Aasy2 A_{asy,2}
Aasy3 A_{asy,3}
drp_QSO \Delta r_{||}
qso_rad_strength \xi_0^{TP}
BB-lyaxlya-0-broadband_sky-scale-sky A_{sky,lya}
BB-lyaxlya-0-broadband_sky-sigma-sky \sigma_{sky,lya}
BB-lyaxlyb-0-broadband_sky-scale-sky A_{sky,lyb}
BB-lyaxlyb-0-broadband_sky-sigma-sky \sigma_{sky,lyb}
BB-lyalya_lyalya-0-broadband_sky-scale-sky A_{sky,lya}
BB-lyalya_lyalya-0-broadband_sky-sigma-sky \sigma_{sky,lya}
BB-lyalya_lyalyb-0-broadband_sky-scale-sky A_{sky,lyb}
BB-lyalya_lyalyb-0-broadband_sky-sigma-sky \sigma_{sky,lyb}
